,auc_train,precision_train,recall_train,f1_train,auc_test,precision_test,recall_test,f1_test
toxic,0.93225144459818,0.7871750433275563,0.4737171464330413,0.5914832660502669,0.9330143310941432,0.7869433198380567,0.48563397876327297,0.600617999227501
severe_toxic,0.9814754866607794,0.9067524115755627,0.1726883037354562,0.2901234567901234,0.9809946771775708,0.9109947643979057,0.16322701688555347,0.2768496420047733
obscene,0.9608455016177124,0.8401486988847584,0.43475472907983326,0.5729980984576378,0.9617590509914877,0.836329233680227,0.4335458558116724,0.5710594315245477
threat,0.9526306319231924,0.8651685393258427,0.028731343283582088,0.055615745756590826,0.943539086396204,0.8596491228070176,0.027952082144894468,0.054143646408839785
insult,0.9510979337471177,0.8198675496688742,0.3723308270676692,0.5120992761116857,0.9509871234140083,0.817907444668008,0.3765632237146827,0.5156993339676499
identity_hate,0.9521609364545325,0.8576779026217228,0.0843462246777164,0.15358819584171698,0.9408074055384332,0.8388888888888889,0.08794408852649971,0.1591987348444913
